Player,Kicks,Marks,Handballs,Goals,Behinds,Hitouts,Tackles,Rebound50s,Inside50s,Clearances,Clangers,FreeKicksFor,FreeKicksAgainst,BrownlowVotes,Contested,ContestedMarks  ,MarksInside50,1%  ,Bounces,GoalAssists,TOG,PositionDef,PositionInsideMid,PositionRuck,PositionFor,Win
"Williams, Zac",14,5,7,0,0,0,3,9,1,3,2,0,0,0,6,0,0,1,0,0,81,1,0,0,0,0
"Young, Lewis",5,4,5,0,0,7,5,0,1,1,1,0,0,0,2,0,1,4,0,0,79,0,0,0,0,0
"Atkins, Tom",5,3,12,0,0,0,11,0,2,1,3,0,2,0,7,0,0,1,0,2,79,0,1,0,0,1
"Bowes, Jack",12,6,6,2,0,0,3,2,0,2,3,1,3,0,4,0,0,0,0,0,64,1,0,0,0,1
"Cameron, Jeremy",18,7,4,1,2,0,2,3,2,1,3,4,1,0,8,0,1,0,0,1,88,0,0,0,1,1
"Clohesy, Ted",7,2,2,0,1,0,2,1,3,1,1,0,0,0,3,1,0,2,0,1,71,0,0,0,0,1
"Close, Brad",9,6,9,0,1,0,0,0,2,0,0,1,0,0,6,1,1,0,0,1,89,0,0,0,1,1
"Dangerfield, Patrick",12,6,8,3,2,0,1,0,4,3,3,3,1,3,12,1,3,1,0,0,71,0,0,0,1,1
"De Koning, Sam",12,9,6,1,0,2,1,0,2,2,2,0,1,0,7,2,0,3,0,0,83,1,0,0,0,1
"Dempsey, Oliver",12,8,14,0,1,0,4,2,2,5,3,1,1,0,13,2,1,1,0,0,93,0,0,0,0,1
"Guthrie, Zach",23,17,7,0,0,0,4,8,2,1,5,2,1,1,6,0,0,3,0,0,88,1,0,0,0,1
"Henry, Jack",7,6,3,0,0,0,0,0,2,0,1,1,0,0,4,1,0,2,0,0,40,1,0,0,0,1
"Henry, Oliver",5,4,4,0,1,0,1,0,1,0,2,0,0,0,4,1,2,0,0,1,75,0,0,0,1,1
"Holmes, Max",12,4,5,0,0,0,3,3,2,3,4,1,1,0,7,1,0,0,0,1,82,0,1,0,0,1
"Humphries, Lawson",20,13,3,0,0,0,2,6,4,0,2,2,0,0,3,0,0,2,1,0,94,1,0,0,0,1
"Mannagh, Shaun",14,4,4,1,0,0,5,0,5,4,4,0,0,0,7,1,0,0,0,1,76,0,0,0,0,1
"Miers, Gryan",19,10,7,0,0,0,0,4,1,2,1,0,0,2,5,0,0,0,1,0,85,0,0,0,0,1
"Mullin, Oisin",14,8,2,0,0,0,3,4,2,0,5,2,1,0,4,0,0,2,0,0,84,1,0,0,0,1
"Neale, Shannon",5,5,2,1,1,4,1,0,1,0,1,0,0,0,2,1,5,4,0,0,86,0,0,0,1,1
"OConnor, Mark",11,8,5,0,0,0,1,1,2,0,1,0,1,0,3,0,0,1,0,1,40,1,0,0,0,1
"OSullivan, Connor",13,13,10,0,0,1,0,3,1,1,3,0,1,0,10,3,0,4,0,0,95,1,0,0,0,1
"Smith, Bailey",20,7,8,0,0,0,8,2,5,5,4,1,1,0,8,0,0,1,0,0,83,0,1,0,0,1
"Stanley, Rhys",5,5,6,1,0,23,3,2,2,1,3,1,2,0,6,1,2,4,0,0,76,0,0,1,0,1
"Stengle, Tyson",5,3,1,2,1,0,1,0,1,0,1,0,0,0,1,0,2,0,0,1,77,0,0,0,1,1
"Stewart, Tom",21,11,3,0,0,0,1,3,1,0,1,2,0,0,5,1,0,2,0,0,80,1,0,0,0,1
"Bowey, Jake",16,2,4,0,0,0,3,6,0,0,3,2,0,0,5,0,0,1,0,0,81,1,0,0,0,0
"Chandler, Kade",8,3,3,0,0,0,2,4,2,0,2,0,0,0,3,1,0,1,0,0,94,0,0,0,0,0
"Fritsch, Bayley",10,7,7,0,3,0,1,0,5,0,1,0,1,0,5,3,1,1,3,2,79,0,0,0,1,0
"Gawn, Max",8,4,7,0,0,34,3,1,3,5,4,2,1,0,12,2,0,7,0,0,85,0,0,1,0,0
"Henderson, Jack",6,3,3,0,0,0,1,1,2,0,2,0,0,0,2,0,0,1,0,0,73,0,0,0,0,0
"Langdon, Ed",9,3,6,1,1,0,3,3,3,0,0,0,0,0,5,0,0,2,0,0,95,0,0,0,0,0
"Langford, Harvey",4,0,7,1,0,0,1,1,1,3,2,0,0,0,6,0,0,1,0,0,63,0,1,0,0,0
"May, Steven",24,10,3,0,0,0,0,8,0,0,3,1,1,0,6,1,0,7,1,0,100,1,0,0,0,0
"McDonald, Tom",14,10,3,0,0,0,3,4,1,0,3,1,1,0,3,0,0,5,0,0,100,1,0,0,0,0
"Melksham, Jake",5,3,3,0,0,0,2,0,5,1,1,1,1,0,4,1,0,1,0,0,78,0,0,0,1,0
"Oliver, Clayton",14,5,16,0,1,0,3,2,4,9,2,2,0,0,16,0,1,1,0,0,78,0,1,0,0,0
"Petracca, Christian",10,3,11,2,0,0,1,0,4,3,2,0,0,0,12,0,1,0,0,0,84,0,1,0,0,0
"Petty, Harry",2,2,3,0,0,0,1,0,2,0,3,0,2,0,1,0,0,7,0,0,92,1,0,0,0,0
"Pickett, Kysaiah",12,5,10,0,3,0,4,0,5,3,3,0,1,0,6,0,1,0,0,1,83,0,1,0,0,0
"Rivers, Trent",5,2,8,0,0,0,0,2,1,0,4,0,2,0,5,0,0,1,0,0,79,1,0,0,0,0
"Salem, Christian",10,7,8,0,0,0,3,1,0,2,4,1,2,0,4,1,0,2,0,0,84,1,0,0,0,0
"Sharp, Harry",3,2,2,0,0,0,2,0,1,0,2,0,2,0,1,0,0,1,0,0,59,0,0,0,1,0
"Spargo, Charlie",0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,18,0,0,0,1,0
"Sparrow, Tom",3,2,2,0,1,0,3,0,1,0,2,0,1,0,2,0,0,0,0,0,81,1,0,0,0,0
"Turner, Daniel",6,4,2,1,1,0,3,0,2,0,0,2,0,0,6,2,1,3,0,0,80,0,0,0,1,0
"van Rooyen, Jacob",4,1,6,1,0,3,3,0,3,2,3,2,3,0,7,1,0,3,0,0,77,0,0,0,1,0
"Viney, Jack",8,1,7,0,0,0,3,2,2,4,5,3,2,0,10,0,0,1,0,0,72,0,1,0,0,0
